electrode,cluster,spiketime
1.0,6.0,120.05418
1.0,6.0,120.055215
1.0,6.0,120.057285
1.0,6.0,120.065265
1.0,6.0,120.06682
1.0,6.0,120.06965
1.0,6.0,120.069865
1.0,6.0,120.07282
1.0,6.0,120.08708
1.0,6.0,120.089885
1.0,6.0,120.09157
1.0,6.0,120.11011
1.0,6.0,120.110985
1.0,6.0,120.113445
1.0,6.0,120.117155
1.0,6.0,120.11831
1.0,6.0,120.131635
1.0,6.0,120.13321
1.0,5.0,120.17903
1.0,5.0,120.26352
1.0,6.0,120.60111
1.0,6.0,120.602715
1.0,6.0,120.61216
1.0,6.0,120.61687
1.0,6.0,120.617385
1.0,6.0,120.61937
1.0,6.0,120.62061
1.0,6.0,120.62133
1.0,6.0,120.633515
1.0,6.0,120.63589
1.0,6.0,120.63942
1.0,6.0,120.65642
1.0,6.0,120.662935
1.0,5.0,120.919085
1.0,5.0,120.948775
1.0,5.0,120.948985
1.0,5.0,120.96726
1.0,6.0,120.98289
1.0,5.0,120.988445
1.0,5.0,121.117575
1.0,6.0,121.139975
1.0,6.0,121.179215
1.0,5.0,121.26774
1.0,5.0,121.30856
1.0,6.0,121.312515
1.0,6.0,121.58965
1.0,6.0,121.94173
1.0,6.0,123.55659
1.0,6.0,123.717555
1.0,6.0,123.8363
1.0,6.0,124.099105
1.0,6.0,124.100315
1.0,6.0,124.28105
1.0,6.0,124.28193
1.0,6.0,124.42935
1.0,6.0,125.430485
1.0,6.0,125.43263
1.0,6.0,125.722025
1.0,6.0,125.72407
1.0,6.0,126.01046
1.0,6.0,126.010955
1.0,6.0,126.0112
1.0,6.0,126.01312
1.0,5.0,126.35474
1.0,6.0,126.97957
1.0,5.0,126.983775
1.0,6.0,126.994325
1.0,6.0,127.244255
1.0,6.0,127.844075
1.0,6.0,127.892155
1.0,6.0,127.89306
1.0,6.0,128.37009
1.0,6.0,128.371895
1.0,5.0,129.174905
1.0,5.0,129.177955
1.0,6.0,129.37905
1.0,6.0,129.37976
1.0,6.0,129.381645
1.0,6.0,129.64295
1.0,6.0,129.64435
1.0,6.0,129.65335
1.0,6.0,129.653965
1.0,6.0,129.655185
1.0,6.0,129.655735
1.0,6.0,130.29281
1.0,6.0,130.29366
1.0,6.0,130.55135
1.0,6.0,130.552885
1.0,6.0,131.00077
1.0,6.0,131.00295
1.0,6.0,131.280175
1.0,5.0,131.420215
1.0,6.0,131.443955
1.0,5.0,131.444275
1.0,5.0,131.446045
1.0,5.0,131.45063
1.0,6.0,131.451755
1.0,6.0,131.547415
1.0,5.0,131.736685
1.0,5.0,131.738475
1.0,6.0,131.8875
1.0,6.0,131.888355
1.0,6.0,131.88989
1.0,6.0,132.82329
