delay_time,region,mi_max,p-value
0.65,EC,1.0410509587311672,0.004
0.3,EC,0.9400708317960944,0.0
0.35,CA3,0.14442312735561805,0.0
0.9,CA3,0.1759531427245819,0.006
0.3,CA1,0.4028819742100276,0.003
0.85,EC,0.31340873589305307,0.03
0.6,EC,1.0364854945917865,0.044
-0.75,EC,0.45714157061385735,0.0
0.25,EC,0.37172714218178377,0.021
0.95,CA1,0.40782502282980393,0.0
1.0,CA1,0.23968890223315087,0.009
-0.45,EC,0.6393157705979668,0.006
0.75,CA3,0.24523165164468247,0.0
1.0,CA1,0.4898833477201019,0.0
-0.95,EC,0.2890586932937224,0.0
-0.95,EC,0.24018627039386636,0.003
-1.0,EC,0.173216975568942,0.009
0.85,EC,0.3055282871413952,0.004
-1.0,EC,0.3599909510269136,0.0
-0.55,CA1,1.145026643787474,0.014
1.0,CA3,0.16838365153476575,0.0
0.05,EC,0.38854728606411076,0.04
0.3,CA3,0.6309955433070258,0.038
-0.45,EC,0.29983332013719644,0.019
-0.75,EC,0.12182568532772774,0.008
0.25,EC,1.5307180285727648,0.024
0.1,CA1,0.9212105580949178,0.013
0.3,EC,0.5471232188899241,0.014
0.65,CA1,1.380999534083705,0.001
-0.9,EC,0.2429433027684547,0.006
0.15,CA3,0.3218175711435828,0.029
0.8,CA1,0.5083159275203926,0.0
0.7,CA1,0.930401995983815,0.022
1.0,EC,0.452945357033234,0.0
0.95,CA1,0.31336943182585003,0.0
0.2,EC,0.36801578376713123,0.001
0.75,CA3,0.12283705283264428,0.022
-0.75,EC,0.24579041943246,0.021
0.95,EC,0.4923697661155809,0.024
0.75,CA1,0.5024292763743028,0.0
-0.4,EC,0.20501149281250922,0.012
0.8,EC,0.18587047004694385,0.0
-1.0,EC,0.91676051385909,0.0
-0.1,CA1,0.5954953239663636,0.013
-0.7,CA1,0.9909705546114019,0.001
0.5,EC,0.12257004873075276,0.036
-0.35,CA1,0.4664333474263556,0.002
-0.65,EC,0.2736894397073087,0.003
0.2,EC,0.6744690509504969,0.017
-0.55,EC,0.19441082118313102,0.033
0.4,EC,0.6831861135290811,0.003
-0.6,EC,0.26394343273163007,0.015
-0.1,CA1,0.14412764236539197,0.044
0.8,CA1,1.7249016634694208,0.0
0.05,EC,1.0419003086763348,0.019
0.95,EC,1.495815997277238,0.0
-0.65,CA1,0.5214326977963767,0.017
-1.0,EC,0.19045146159196547,0.01
0.55,CA3,0.42001087362256506,0.044
1.0,EC,3.3447347957645466,0.0
-0.65,EC,0.6190133354384405,0.031
0.95,CA3,0.5661810967075829,0.01
-1.0,EC,0.4339785593839802,0.042
-0.35,EC,0.48750602205492616,0.001
0.9,EC,0.28932141849174553,0.0
-0.65,CA3,0.13887154893568146,0.007
-0.7,EC,0.20235907680724138,0.001
-0.8,CA1,0.2025115867271215,0.001
0.65,CA1,0.2221126817847279,0.032
-1.0,EC,2.267645675231436,0.0
-1.0,CA3,1.282862902112115,0.0
0.75,CA3,0.3881823583694299,0.049
0.7,EC,0.321996946840186,0.002
-1.0,EC,0.8263640087836706,0.004
-0.5,EC,0.2607704235000583,0.0
-0.85,EC,0.1639162993346777,0.001
-0.3,CA1,0.3819776985137316,0.004
-0.6,EC,0.3914605712917476,0.012
1.0,EC,0.7812715884960819,0.0
-0.95,CA1,2.166016443746998,0.0
0.2,EC,0.5214535774423096,0.009
0.8,EC,0.23454864229925923,0.0
0.4,EC,0.6749374588008136,0.026
0.95,CA3,0.13678230573847594,0.003
-0.8,EC,0.6044579690945255,0.008
0.9,CA1,1.0522937978503628,0.013
0.25,EC,0.4017937879249869,0.0
-1.0,CA3,0.1821276025514839,0.021
0.4,CA1,0.4659385533259785,0.0
0.25,CA1,0.37867591211936413,0.0
0.8,EC,0.5920086595524,0.002
0.95,CA3,0.15841752452399016,0.005
0.35,EC,0.5220671717962395,0.001
-0.55,CA3,0.5081925661391213,0.0
-0.25,EC,1.0402447322641644,0.006
1.0,EC,0.27512247431237413,0.021
